Reference,Value,Qty,DNP,Disc,MPN,Size
"C1,C2,C3,C4,C5",10nF,5,,CAP CER 10000PF 50V X7R 0603,311-1085-6-ND,
FH1,6.3A,1,,6.3A Fast,15406.3,
FH2,0.4A,1,,0.4A Fast,154.4,
FH3,0.08A,1,,0.08A Fast,154.08,
FH4,0.1A,1,,0.1A Fast,154.1,
FH5,3.5A,1,,3.5A Fast,15403.5,
J1,IPBT-103-H1-T-D-K,1,,"Connector Header Through Hole 6 position 0.165"" (4.20mm)",IPBT-103-H1-T-D-K,
J2,IPBT-104-H1-T-D-K,1,,"Connector Header Through Hole 8 position 0.165"" (4.20mm)",IPBT-104-H1-T-D-K,
"LD1,LD2,LD3,LD4,LD5",Green,5,,LED GREEN DIFFUSED 0603 SMD,HSME-C191,
"MH1,MH2",3mm,2,,,,
"Q1,Q2,Q5,Q7,Q9",BC858C-7-F,5,,TRANS PNP 30V 0.1A SOT-23-3,BC858C-7-F,
"Q3,Q4,Q8",600V 1.25A,3,,SCR 600 V 1.25 A Sensitive Gate Surface Mount SOT-223,X0202MN 5BA4,
"Q6,Q10","600V, 8A",2,,SCR 600V 8A DPAK,TS1220-600B-TR,
"R1,R11",220,2,,RES 220 OHM 1% 1/10W SMD,RC0603FR-07220RL,
"R2,R4,R13,R22,R38",330,5,,RES 330 OHM 1% 1/10W SMD,RC0603FR-07330RL,
"R3,R18",1.5K,2,,RES 1.5K OHM 1% 1/10W SMD,RC0603FR-071K5L,
"R5,R6,R12,R14,R23,R24,R29,R33,R39,R42",1K,10,,RES 1K OHM 1% 1/10W SMD,RC0603FR-071KL,
"R7,R8,R9,R10,R25,R26,R27,R28,R40,R41",10K,10,,RES 10K OHM 1% 1/10W SMD,RC0603FR-0710KL,
"R15,R30",9.1K,2,,RES 9.1K OHM 1% 1/10W SMD,RC0603FR-079K1L,
"R16,R20,R31,R35,R44",DNP,5,,RES DNP 1/10W SMD,NA,
"R17,R32",12K,2,,RES 12K OHM 1% 1/10W SMD,RC0603FR-0712KL,
"R19,R34",2.61K,2,,RES 2.61K OHM 1% 1/10W SMD,RC0603FR-072K61L,
"R21,R36",2.94K,2,,RES 2.94K OHM 1% 1/10W SMD,RC0603FR-072K94L,
"R37,R45",2.2K,2,,RES 2.2K OHM 1% 1/10W SMD,RC0603FR-072K2L,
R43,1.74K,1,,RES 1.74K OHM 1% 1/10W SMD,RC0603FR-071K74L,
"TP1,TP2,TP3,TP4,TP5",TestPoint,5,,PC TEST POINT COMPACT RED,5005,"0.125"" Dia x 0.220"" L (3.18mm x 5.59mm)"
TP6,TestPoint,1,,PC TEST POINT COMPACT BLACK,5006,"0.125"" Dia x 0.220"" L (3.18mm x 5.59mm)"
"U1,U2,U3,U4,U5,U6,U7,U8,U9,U10",TL431DBZ-SOT-23,10,,,TL431AIDBZR,
