Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5",0603,5,10nF,311-1085-6-ND
FH1,Fuseholder_Littelfuse_Nano2_154x,1,6.3A,15406.3
FH2,Fuseholder_Littelfuse_Nano2_154x,1,0.4A,154.4
FH3,Fuseholder_Littelfuse_Nano2_154x,1,0.08A,154.08
FH4,Fuseholder_Littelfuse_Nano2_154x,1,0.1A,154.1
FH5,Fuseholder_Littelfuse_Nano2_154x,1,3.5A,15403.5
J1,SAMTEC_IPBT-103-H1-T-D-K,1,IPBT-103-H1-T-D-K,IPBT-103-H1-T-D-K
J2,SAMTEC_IPBT-104-H1-T-D-K,1,IPBT-104-H1-T-D-K,IPBT-104-H1-T-D-K
"LD1, LD2, LD3, LD4, LD5",0603,5,Green,HSME-C191
"MH1, MH2",MountingHole_3.2mm_M3_Pad,2,3mm,
"Q1, Q2, Q5, Q7, Q9",SOT-23-3_B-E-C,5,BC858C-7-F,BC858C-7-F
"Q10, Q6",TO-252-2,2,"600V, 8A",TS1220-600B-TR
"Q3, Q4, Q8",SOT-223-3_TabPin2,3,600V 1.25A,X0202MN 5BA4
"R1, R11",0603,2,220,RC0603FR-07220RL
"R10, R25, R26, R27, R28, R40, R41, R7, R8, R9",0603,10,10K,RC0603FR-0710KL
"R12, R14, R23, R24, R29, R33, R39, R42, R5, R6",0603,10,1K,RC0603FR-071KL
"R13, R2, R22, R38, R4",0603,5,330,RC0603FR-07330RL
"R15, R30",0603,2,9.1K,RC0603FR-079K1L
"R16, R20, R31, R35, R44",0603,5,DNP,NA
"R17, R32",0603,2,12K,RC0603FR-0712KL
"R18, R3",0603,2,1.5K,RC0603FR-071K5L
"R19, R34",0603,2,2.61K,RC0603FR-072K61L
"R21, R36",0603,2,2.94K,RC0603FR-072K94L
"R37, R45",0603,2,2.2K,RC0603FR-072K2L
R43,0603,1,1.74K,RC0603FR-071K74L
"TP1, TP2, TP3, TP4, TP5",TestPoint_Keystone_5005_Compact_Red,5,TestPoint,5005
TP6,TestPoint_Keystone_5006_Compact_Black,1,TestPoint,5006
"U1, U10, U2, U3, U4, U5, U6, U7, U8, U9",SOT-23,10,TL431DBZ-SOT-23,TL431AIDBZR
