Designator,Mid X,Mid Y,Rotation,Layer
C1,119.761,-75.057,180.0,top
C2,115.9775,-94.4935,0.0,top
C3,141.351,-82.413,90.0,top
C4,116.738,-127.0265,90.0,top
C5,146.077,-128.616,0.0,top
FH1,142.367,-89.779,90.0,top
FH2,129.819,-118.11,270.0,top
FH3,128.397,-79.883,90.0,top
FH4,126.492,-103.124,270.0,top
FH5,144.0461,-118.1666,270.0,top
GL1,172.085,-130.048,0.0,top
J1,139.065,-104.14,180.0,top
J2,155.575,-104.14,180.0,top
LD1,145.189098,-63.721001,180.0,top
LD2,137.873898,-63.721001,180.0,top
LD3,167.134698,-63.721001,180.0,top
LD4,159.819498,-63.721001,180.0,top
LD5,152.504298,-63.721001,180.0,top
Q1,119.761,-72.009,270.0,top
Q10,151.891,-118.378,90.0,top
Q2,115.951,-97.4145,90.0,top
Q3,125.476,-69.24,90.0,top
Q4,116.053,-105.156,0.0,top
Q5,144.7855,-82.413,180.0,top
Q6,151.378,-91.146,270.0,top
Q7,119.913,-127.0,180.0,top
Q8,126.898,-127.635,180.0,top
Q9,146.2305,-125.949,180.0,top
R1,141.983598,-63.721001,0.0,top
R10,133.809898,-68.039001,270.0,top
R11,163.929198,-63.721001,0.0,top
R12,120.777,-67.8415,90.0,top
R13,139.573,-79.7225,90.0,top
R14,118.237,-100.584,180.0,top
R15,119.253,-82.423,0.0,top
R17,141.125098,-71.595001,270.0,top
R18,156.613998,-63.721001,0.0,top
R19,119.507,-91.313,180.0,top
R2,118.237,-76.708,180.0,top
R21,133.809898,-71.595001,270.0,top
R22,120.421,-122.301,180.0,top
R23,143.383,-79.619,0.0,top
R24,117.2225,-124.206,180.0,top
R25,153.6802,-82.7578,0.0,top
R26,163.070698,-68.039001,270.0,top
R27,116.611,-119.4035,90.0,top
R28,155.755498,-68.039001,270.0,top
R29,149.987,-83.693,180.0,top
R3,134.668398,-63.721001,0.0,top
R30,156.7677,-80.7235,90.0,top
R32,163.070698,-71.595001,270.0,top
R33,120.421,-129.921,0.0,top
R34,118.389,-116.459,0.0,top
R36,155.755498,-71.595001,270.0,top
R37,149.298798,-63.721001,0.0,top
R38,149.6595,-130.267,0.0,top
R39,149.683,-128.616,180.0,top
R4,119.253,-97.155,90.0,top
R40,156.113,-130.14,0.0,top
R41,148.440298,-68.039001,270.0,top
R42,156.6445,-122.393,270.0,top
R43,159.8195,-127.6,90.0,top
R45,148.440298,-71.595001,270.0,top
R5,116.967,-73.787,90.0,top
R6,119.507,-94.488,180.0,top
R7,115.443,-79.756,270.0,top
R8,141.125098,-68.039001,270.0,top
R9,123.444,-91.059,180.0,top
TP1,167.0812,-67.988201,0.0,top
TP2,159.766,-67.988201,0.0,top
TP3,145.1356,-67.988201,0.0,top
TP4,137.8204,-67.988201,0.0,top
TP5,152.4508,-67.988201,0.0,top
TP6,173.482,-63.5,0.0,top
U1,118.491,-79.756,180.0,top
U10,152.504298,-74.135001,90.0,top
U2,145.189098,-74.135001,90.0,top
U3,123.444,-94.996,90.0,top
U4,137.873898,-74.135001,90.0,top
U5,153.5278,-79.9361,270.0,top
U6,167.134698,-74.135001,90.0,top
U7,120.4695,-119.253,0.0,top
U8,159.819498,-74.135001,90.0,top
U9,156.723,-127.346,180.0,top
